anio,mes,ElAtazar,ElVado,ElVillar,LaAcena,LaJorosa,LaPinilla,LosMorales,Navacerrada,Navalmedio,Pedrezuela,PuentesViejas,Riosequillo,Santillana,Valmayor,fecha,total
2004,12,309.701,9.397,19.065,14.962,5.049,29.289,1.513,5.126,0.41,14.4,32.587,28.745,56.58,79.293,2004-12-01,606.117
2005,1,300.941,11.367,18.303,15.775,4.563,29.865,1.432,5.243,0.343,11.751,27.384,27.097,51.274,81.663,2005-01-01,587.001
2005,2,288.828,12.025,16.511,16.336,4.296,28.87,1.399,5.433,0.374,9.191,28.219,27.89,48.837,80.74,2005-02-01,568.9489999999998
2005,3,278.957,14.548,13.535,19.15,4.332,28.681,1.365,6.627,0.363,7.463,34.379,32.239,47.252,84.255,2005-03-01,573.146
2005,4,281.16,14.643,1.964,20.51,3.968,33.543,1.286,7.668,0.316,7.116,36.82,37.769,46.753,89.228,2005-04-01,582.7439999999999
2005,5,257.706,12.72,0.0,18.641,4.354,33.502,1.159,7.125,0.335,7.416,38.024,41.557,41.815,93.278,2005-05-01,557.6320000000001
2005,6,228.396,7.242,5.676,14.436,5.359,31.674,0.996,6.215,0.388,7.432,36.612,38.137,36.198,95.79,2005-06-01,514.5509999999999
2005,7,211.365,6.872,12.685,9.789,5.688,27.932,0.915,5.208,0.392,7.263,14.625,33.2,32.169,87.372,2005-07-01,455.47499999999997
2005,8,193.84,6.653,9.554,9.103,2.594,25.153,0.614,4.26,0.39,7.108,4.075,32.123,28.386,74.36,2005-08-01,398.213
2005,9,179.841,6.569,12.865,7.162,1.892,23.675,0.494,3.696,0.385,7.05,4.325,11.646,25.144,62.094,2005-09-01,346.838
2005,10,160.926,8.059,13.127,5.548,2.386,22.608,0.435,3.729,0.328,7.432,4.371,12.547,25.647,62.537,2005-10-01,329.67999999999995
2005,11,148.22,12.778,13.835,6.318,2.012,21.063,0.393,4.396,0.314,9.857,4.034,18.76,29.918,64.289,2005-11-01,336.18699999999995
2005,12,148.444,14.506,12.242,5.769,2.706,20.656,0.374,4.982,0.272,11.061,5.767,18.519,31.949,67.76,2005-12-01,345.00699999999995
2006,1,158.578,15.07,10.205,5.662,3.566,19.433,0.346,5.726,0.261,10.992,2.107,23.325,35.601,78.287,2006-01-01,369.159
2006,2,152.973,14.973,9.665,6.299,3.137,21.189,0.346,6.041,0.285,8.493,2.547,27.603,37.168,83.865,2006-02-01,374.584
2006,3,183.714,38.688,1.258,10.643,4.354,30.841,0.555,9.079,0.356,16.578,5.621,42.211,54.858,98.992,2006-03-01,497.748
2006,4,214.081,42.139,1.345,11.793,4.23,30.098,0.626,8.908,0.361,19.862,9.416,39.914,62.162,105.921,2006-04-01,550.856
2006,5,221.207,31.201,0.203,11.899,3.531,30.253,0.648,7.99,0.296,15.624,24.38,30.274,62.08,104.784,2006-05-01,544.37
2006,6,206.379,22.473,0.203,9.455,4.503,29.327,0.58,6.936,0.308,13.057,44.669,14.064,56.344,105.988,2006-06-01,514.286
2006,7,183.522,16.085,0.203,8.959,3.066,26.54,0.481,5.945,0.255,12.839,48.423,12.329,48.911,106.122,2006-07-01,473.68
2006,8,174.157,10.532,10.17,7.199,2.745,23.204,0.437,5.057,0.259,12.528,39.487,2.404,42.548,104.253,2006-08-01,434.98
2006,9,166.828,7.726,13.908,5.974,2.371,20.5,0.407,4.653,0.267,12.352,22.09,2.444,36.802,100.657,2006-09-01,396.97900000000004
2006,10,174.28,16.632,14.033,6.218,2.105,16.954,0.399,5.578,0.356,15.258,16.204,2.197,43.559,98.674,2006-10-01,412.447
2006,11,227.671,44.904,16.915,12.877,5.973,24.048,0.625,8.956,0.517,34.662,25.043,2.63,77.138,115.507,2006-11-01,597.4659999999999
2006,12,267.375,43.408,16.249,15.909,6.189,30.762,0.792,9.112,0.443,35.332,23.02,7.291,77.416,116.443,2006-12-01,649.741
2007,1,285.846,37.195,13.484,16.574,5.902,25.118,0.878,8.587,0.459,32.22,18.832,13.671,76.584,115.722,2007-01-01,651.072
2007,2,310.221,47.411,12.164,18.592,6.128,27.451,1.047,9.319,0.387,32.256,21.935,22.918,79.096,118.55,2007-02-01,707.4749999999999
2007,3,334.448,43.319,9.596,19.806,5.886,31.077,1.144,9.319,0.387,32.328,26.897,24.011,82.138,119.357,2007-03-01,739.713
2007,4,342.038,47.388,9.283,21.823,5.902,33.502,1.24,9.622,0.442,33.339,42.787,26.322,84.566,116.732,2007-04-01,774.986
2007,5,350.953,46.875,17.655,23.551,6.279,33.792,1.363,9.622,0.513,31.015,42.763,44.309,85.255,113.369,2007-05-01,807.314
2007,6,370.492,37.314,0.912,23.224,6.072,34.292,1.409,9.335,0.443,27.193,46.368,44.996,84.861,110.982,2007-06-01,797.893
2007,7,353.863,20.748,4.559,22.489,4.359,32.56,1.341,7.742,0.368,26.708,45.473,43.075,78.721,113.015,2007-07-01,755.021
2007,8,339.099,14.122,16.534,19.646,4.512,29.711,1.242,6.287,0.4,26.07,33.377,33.917,72.498,115.363,2007-08-01,712.778
2007,9,323.127,12.644,15.245,16.327,5.805,26.938,1.168,5.109,0.415,25.661,28.645,27.932,68.877,108.018,2007-09-01,665.9110000000001
2007,10,310.308,11.42,14.681,15.837,4.826,24.666,1.116,4.168,0.356,25.693,23.087,22.103,69.401,107.135,2007-10-01,634.7969999999999
2007,11,316.766,10.836,12.915,15.489,3.725,22.773,1.072,3.109,0.396,24.461,12.761,3.54,69.226,110.843,2007-11-01,607.9120000000001
2007,12,302.562,10.135,13.402,15.259,2.842,21.032,1.031,2.428,0.445,21.733,12.605,5.511,68.008,113.865,2007-12-01,590.8580000000001
2008,1,291.244,11.851,13.208,13.491,4.44,22.151,1.031,2.743,0.377,18.756,14.772,8.062,68.181,115.579,2008-01-01,585.886
2008,2,281.324,13.603,13.107,14.427,4.821,23.98,1.035,3.151,0.467,16.931,16.895,9.676,68.529,117.529,2008-02-01,585.4749999999999
2008,3,270.004,15.222,12.915,14.883,4.759,28.193,1.027,3.7,0.346,14.287,19.546,10.36,66.116,118.697,2008-03-01,580.055
2008,4,271.124,39.636,13.188,18.156,5.762,29.634,1.261,6.105,0.464,21.623,37.47,28.999,79.002,116.949,2008-04-01,669.3729999999999
2008,5,287.583,49.333,16.973,21.255,6.251,31.395,1.358,7.75,0.458,26.998,45.372,43.954,84.37,119.063,2008-05-01,742.113
2008,6,315.363,44.163,16.124,23.245,6.122,32.196,1.36,8.235,0.423,28.814,41.722,40.604,83.492,118.55,2008-06-01,760.413
2008,7,313.876,30.342,15.877,21.791,5.714,30.762,1.249,7.397,0.356,28.279,38.586,36.987,77.046,120.315,2008-07-01,728.577
2008,8,310.742,16.051,16.615,20.137,4.869,27.858,1.11,6.144,0.373,27.65,35.029,33.342,70.19,119.946,2008-08-01,690.0559999999999
2008,9,296.449,11.349,17.595,17.669,5.645,24.631,0.988,5.284,0.398,27.454,33.263,34.062,64.587,118.331,2008-09-01,657.705
2008,10,282.553,11.724,20.746,17.602,5.0,20.594,0.945,4.982,0.445,28.245,31.67,33.413,60.272,111.96,2008-10-01,630.1510000000001
2008,11,262.319,13.543,20.512,16.62,5.344,19.045,0.913,5.057,0.367,27.356,34.34,35.438,60.272,102.279,2008-11-01,603.405
2008,12,283.539,23.803,18.978,17.859,5.38,18.661,0.887,6.261,0.355,28.814,36.077,32.216,64.25,104.784,2008-12-01,641.864
2009,1,312.742,41.751,17.171,19.646,5.354,30.998,0.891,8.043,0.464,30.631,37.917,34.996,68.703,100.786,2009-01-01,710.0930000000001
2009,2,327.322,45.312,21.684,23.013,6.291,33.585,0.959,9.285,0.456,35.744,47.175,45.327,77.695,96.162,2009-02-01,770.01
2009,3,356.222,46.319,20.863,23.541,6.302,33.709,1.004,9.402,0.429,34.847,44.919,44.013,83.394,95.419,2009-03-01,800.3829999999999
2009,4,380.674,38.321,21.617,22.677,6.262,32.764,1.037,9.327,0.431,29.152,40.092,40.687,83.2,98.104,2009-04-01,804.3450000000001
2009,5,379.096,30.796,21.63,20.887,5.875,33.875,0.996,8.714,0.399,23.183,40.024,44.636,80.134,101.173,2009-05-01,791.418
2009,6,374.777,21.855,20.163,18.767,5.635,32.357,0.863,7.332,0.397,20.541,34.772,44.131,72.14,102.999,2009-06-01,756.729
2009,7,371.171,15.905,19.946,16.244,4.922,29.366,0.7,5.726,0.397,20.043,16.065,39.288,64.25,94.926,2009-07-01,698.949
2009,8,359.636,10.07,19.946,12.909,5.053,26.108,0.493,4.808,0.384,19.606,2.954,39.532,56.187,84.423,2009-08-01,642.109
2009,9,332.453,7.547,19.477,12.297,3.725,23.238,0.373,4.102,0.38,19.277,2.178,36.627,49.276,74.411,2009-09-01,585.361
2009,10,310.221,7.416,17.183,10.037,4.2,20.687,0.307,3.405,0.393,19.177,1.955,34.671,44.723,64.38,2009-10-01,538.7549999999999
2009,11,294.343,7.455,12.885,9.67,3.404,18.985,0.272,3.286,0.419,18.781,8.38,30.187,39.541,63.072,2009-11-01,510.68
2009,12,280.18,16.164,13.036,9.598,2.812,24.048,0.264,4.031,0.406,16.211,20.636,20.719,42.281,66.681,2009-12-01,517.0670000000001
2010,1,277.25,34.006,18.596,9.822,4.301,27.451,0.281,5.713,0.386,19.378,33.759,27.747,50.158,71.664,2010-01-01,580.5120000000001
2010,2,290.326,42.356,21.524,11.509,5.53,27.488,0.622,6.163,0.409,24.826,36.986,38.509,56.502,86.342,2010-02-01,649.092
2010,3,328.937,47.81,20.995,15.703,6.268,29.711,0.984,7.675,0.401,33.158,42.883,42.125,67.403,108.428,2010-03-01,752.481
2010,4,357.831,46.851,20.759,17.488,6.229,31.157,1.224,8.066,0.419,34.292,44.569,43.134,75.757,114.791,2010-04-01,802.567
2010,5,380.082,46.921,20.707,18.195,4.907,30.88,1.324,7.441,0.361,31.297,43.755,44.368,75.482,111.4,2010-05-01,817.12
2010,6,382.235,43.673,20.421,15.819,5.709,31.714,1.346,6.512,0.446,28.212,47.809,44.013,70.719,109.596,2010-06-01,808.2240000000002
2010,7,380.378,30.117,21.484,15.092,3.885,30.176,1.215,5.445,0.377,27.617,42.644,42.844,61.502,100.013,2010-07-01,762.7890000000001
2010,8,369.522,17.502,21.126,11.311,4.412,27.157,1.061,4.255,0.332,26.966,37.175,41.134,54.316,91.414,2010-08-01,707.683
2010,9,345.642,12.501,19.314,7.512,4.792,24.562,0.967,3.246,0.299,26.644,39.867,35.689,52.783,87.603,2010-09-01,661.4209999999999
2010,10,318.525,11.715,15.366,6.342,3.13,23.005,0.934,3.216,0.308,26.805,43.487,34.451,52.707,88.995,2010-10-01,628.986
2010,11,291.745,15.771,17.477,6.128,2.395,27.858,0.892,3.51,0.407,27.323,41.049,35.513,53.777,99.757,2010-11-01,623.6020000000001
